h3,name,source_url,note
608533693383835647,Aarhus harbour and roads – Aarhus Bugt,https://www.openstreetmap.org/#map=12/56.1543/10.2384,not an anchorage
608534721642627071,Assens harbour – Lillebælt,https://www.openstreetmap.org/#map=12/55.2743/9.8802,not an anchorage
608534314409263103,Baltic Sea east of Bornholm – Słupsk Bank,https://www.openstreetmap.org/#map=12/55.5444/15.8169,not an anchorage
608534315516559359,Baltic Sea east of Bornholm – Słupsk Bank,https://www.openstreetmap.org/#map=12/55.5874/16.0778,not an anchorage
608534317815037951,Baltic Sea east of Bornholm – Słupsk Bank,https://www.openstreetmap.org/#map=12/55.5459/15.8544,not an anchorage
608532151574462463,Baltic Sea off the Polish coast,https://www.openstreetmap.org/#map=12/54.2809/15.0268,not an anchorage
608532151641571327,Baltic Sea off the Polish coast,https://www.openstreetmap.org/#map=12/54.2968/15.0076,not an anchorage
608532137280274431,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.8120/15.3117,not an anchorage
608532168804663295,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.8659/15.4016,not an anchorage
608532169073098751,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.8294/15.3294,not an anchorage
608532184373919743,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.7811/14.9989,not an anchorage
608532184726241279,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.7722/15.1658,not an anchorage
608532185061785599,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.7513/15.0745,not an anchorage
608532185145671679,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.7248/15.2238,not an anchorage
608534221648035839,Baltic Sea south-east of Bornholm,https://www.openstreetmap.org/#map=12/54.9619/14.6179,not an anchorage
608534827792072703,Brunsbüttel – Elbe and Kiel Canal entrance,https://www.openstreetmap.org/#map=12/54.1147/8.8514,not an anchorage
608534902937223167,Danish North Sea oil field area – Dan and Gorm,https://www.openstreetmap.org/#map=12/55.3947/5.8077,not an anchorage
608534919160791039,Danish North Sea west of Jutland,https://www.openstreetmap.org/#map=12/55.8216/6.5038,not an anchorage
608154330381418495,Danish North Sea west of Thyborøn,https://www.openstreetmap.org/#map=12/56.1424/7.3243,not an anchorage
608531689546711039,Drogden channel off Dragør,https://www.openstreetmap.org/#map=12/55.5918/12.6916,not an anchorage
608532788303364095,Elbe fairway off Stade,https://www.openstreetmap.org/#map=12/53.6570/9.5090,not an anchorage
608534975934889983,Esbjerg harbour and Grådyb,https://www.openstreetmap.org/#map=12/55.4765/8.3993,not an anchorage
608534976102662143,Esbjerg harbour and Grådyb,https://www.openstreetmap.org/#map=12/55.4516/8.4768,not an anchorage
608534976152993791,Esbjerg harbour and Grådyb,https://www.openstreetmap.org/#map=12/55.4622/8.4200,not an anchorage
608531359052333055,Fehmarnbelt off Rødbyhavn,https://www.openstreetmap.org/#map=12/54.5171/11.3125,not an anchorage
608531362005123071,Fehmarnsund at Heiligenhafen – Germany,https://www.openstreetmap.org/#map=12/54.4008/11.1075,not an anchorage
608533664543801343,Fredericia harbour – Lillebælt,https://www.openstreetmap.org/#map=12/55.5559/9.7295,not an anchorage
608533664560578559,Fredericia oil terminal – Lillebælt,https://www.openstreetmap.org/#map=12/55.5592/9.7660,not an anchorage
608154413764182015,Hanstholm harbour,https://www.openstreetmap.org/#map=12/57.1239/8.5851,not an anchorage
608533786950369279,Hirtshals harbour,https://www.openstreetmap.org/#map=12/57.5992/9.9528,not an anchorage
608531670773006335,Hjelm Bugt south of Møn,https://www.openstreetmap.org/#map=12/54.9067/12.0754,not an anchorage
608433269096054783,IJsselmeer at Stavoren – Netherlands,https://www.openstreetmap.org/#map=12/53.1791/5.4067,not an anchorage
608533647967911935,Kattegat between Endelave and Samsø,https://www.openstreetmap.org/#map=12/55.8287/10.0421,not an anchorage
608533648018243583,Kattegat between Endelave and Samsø,https://www.openstreetmap.org/#map=12/55.8142/10.0627,not an anchorage
608531733234581503,Kiel Bay – Kiel outer approach,https://www.openstreetmap.org/#map=12/54.4196/10.7237,not an anchorage
608531733368799231,Kiel Bay – Kiel outer approach,https://www.openstreetmap.org/#map=12/54.4105/10.8156,not an anchorage
608531587742564351,Korsør – Storebælt,https://www.openstreetmap.org/#map=12/55.3317/11.1434,not an anchorage
608155172262117375,Kristiansand approach – Norway,https://www.openstreetmap.org/#map=12/58.1329/7.9829,not an anchorage
608531600778461183,Langeland east coast at Spodsbjerg,https://www.openstreetmap.org/#map=12/54.9282/10.8432,not an anchorage
608533664627687423,Lillebælt at Middelfart,https://www.openstreetmap.org/#map=12/55.5136/9.6251,not an anchorage
608534689547812863,Lillebælt at Årø,https://www.openstreetmap.org/#map=12/55.1117/9.9030,not an anchorage
608533564081831935,Limfjord at Hals,https://www.openstreetmap.org/#map=12/56.9957/10.3081,not an anchorage
608533956719017983,Limfjord at Nykøbing Mors,https://www.openstreetmap.org/#map=12/56.7869/8.8871,not an anchorage
608533973798223871,Limfjord at Oddesund,https://www.openstreetmap.org/#map=12/56.5791/8.5658,not an anchorage
608531623444479999,Lindø yard – Odense Fjord,https://www.openstreetmap.org/#map=12/55.4790/10.5339,not an anchorage
608533560676057087,Mariager Fjord,https://www.openstreetmap.org/#map=12/56.6858/10.0504,not an anchorage
608531586685599743,Nyborg roads – Storebælt,https://www.openstreetmap.org/#map=12/55.2905/10.8349,not an anchorage
608531623159267327,Odense Fjord entrance – Gabet,https://www.openstreetmap.org/#map=12/55.5145/10.5662,not an anchorage
608531364739809279,Rødbyhavn – Fehmarnbelt tunnel works,https://www.openstreetmap.org/#map=12/54.6398/11.3897,not an anchorage
608531426144419839,Rønne Banke west of Bornholm,https://www.openstreetmap.org/#map=12/54.8802/14.0129,not an anchorage
608534220322635775,Rønne harbour – Bornholm,https://www.openstreetmap.org/#map=12/55.0977/14.6836,not an anchorage
608531400039071743,Strelasund at Stralsund – Germany,https://www.openstreetmap.org/#map=12/54.3104/13.1211,not an anchorage
608531604905656319,Svendborg harbour,https://www.openstreetmap.org/#map=12/55.0589/10.6251,not an anchorage
