# EMODnet Human Activities — vessel density, 2021-07, leisure ship types.
# source:  https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c
# zips:    https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c/attachments/EMODnet_HA_Vessel_Density_0[45].zip
# members: vesseldensity_04_20210701.tif (04 = Sailing),
#          vesseldensity_05_20210701.tif (05 = Pleasure Craft)
# licence: Creative Commons CC-BY 4.0 (as stated in the dataset's
#          ISO-19139 metadata inside each zip) — attribution required.
# crs:     EPSG:3035 (ETRS89 / LAEA Europe), 1000 x 1000 m pixels,
#          equal-area, so one pixel is exactly 1 km2.
# unit:    hours per square kilometre per month. EMODnet builds it by
#          drawing a line between consecutive positions of one ship and
#          intersecting it with the 1 km grid, so it is TRACK time, not
#          message count. Per 1 km2 pixel, hours/km2 = hours.
# rows:    pixel CENTRES reprojected to WGS84, kept where the centre is
#          inside lat 53.0-59.0, lon 3.0-17.0 (the project bbox)
#          AND at least one of the two types is > 0. Sorted by lat, lon.
# lon	lat	hours_sailing	hours_pleasure
4.593210	53.015503	2.2061	0.9881
5.011624	53.015576	1.2441	0.0000
4.398858	53.015614	0.0000	0.0444
4.802420	53.015721	0.0935	1.7539
4.608074	53.016170	1.8760	0.8674
4.413719	53.016305	0.1087	0.0000
4.817287	53.016363	9.5045	24.0268
4.039852	53.016371	0.0000	0.0128
4.622938	53.016836	2.0398	0.7602
4.428581	53.016995	0.0660	0.0000
4.832154	53.017002	36.9951	25.3250
4.054709	53.017106	0.0000	0.0429
5.056233	53.017418	0.1225	0.0000
4.637803	53.017500	1.2354	0.3990
4.847021	53.017640	39.1676	61.8665
4.443444	53.017683	0.1163	0.0443
4.069566	53.017840	0.0490	0.0075
5.071104	53.018028	0.1464	0.3509
4.652668	53.018162	0.5782	0.3580
4.861890	53.018277	12.2740	10.8123
4.458306	53.018369	0.1283	0.0509
4.084424	53.018573	0.0467	0.0000
3.904902	53.018616	0.0466	0.0000
5.085975	53.018636	3.0198	1.1266
4.667534	53.018822	0.2136	0.3756
4.876758	53.018911	1.7403	0.6938
4.473170	53.019053	0.0780	0.0000
5.100846	53.019243	0.2999	0.0218
3.919758	53.019368	0.0461	0.0000
4.682400	53.019480	1.9995	0.8767
4.891627	53.019543	1.7293	0.2784
4.488033	53.019735	0.0848	0.0000
5.115718	53.019848	0.1116	0.1487
4.697267	53.020137	14.7965	7.0751
4.906496	53.020174	0.9706	0.0871
4.502898	53.020416	0.2574	0.0000
5.130590	53.020451	0.2342	0.2390
4.712134	53.020791	0.4487	0.6555
4.921366	53.020803	0.5005	0.6750
5.145462	53.021052	0.1616	0.2095
4.517762	53.021094	0.0334	0.1770
4.936236	53.021430	0.0854	0.0326
4.727001	53.021444	0.6087	0.4393
5.160335	53.021651	0.3331	0.3124
4.532627	53.021771	0.6293	0.1088
4.338245	53.021784	0.0654	0.0000
4.951106	53.022055	0.1160	0.2143
4.741869	53.022095	0.1101	0.0000
4.158719	53.022206	0.0000	0.0251
5.175208	53.022249	0.3109	0.0000
4.547493	53.022446	0.2558	0.1485
4.965977	53.022678	0.1892	0.1369
4.756738	53.022744	0.0000	0.1455
3.305552	53.022785	0.0872	0.0000
5.190082	53.022844	0.2905	0.2958
4.173580	53.022927	0.0000	0.0717
3.994043	53.023103	0.0676	0.0000
4.562358	53.023119	1.1037	0.2831
4.980848	53.023300	0.3282	0.0000
4.771606	53.023391	0.0000	0.1383
5.204956	53.023438	0.3147	1.3809
3.320400	53.023611	0.0078	0.0355
4.188440	53.023646	0.0000	0.0058
4.577225	53.023791	1.3063	0.7561
4.008901	53.023844	0.0304	0.0000
4.382835	53.023875	0.0394	0.0578
4.995720	53.023920	0.4850	0.0000
5.219830	53.024030	0.2415	1.3613
3.335248	53.024436	0.0000	0.0335
4.592091	53.024460	2.0613	0.9613
5.010592	53.024537	0.3483	0.0000
4.397699	53.024569	0.0128	0.1773
5.234705	53.024620	0.2548	0.4253
4.606959	53.025128	2.0904	1.0736
5.025465	53.025153	0.1009	0.0000
5.249580	53.025209	0.0005	0.0000
4.412564	53.025261	0.0000	0.0057
4.816215	53.025322	0.0242	0.8538
4.621826	53.025793	2.2402	1.1692
4.427429	53.025950	0.0980	0.0000
4.831085	53.025962	8.0963	26.4823
5.055211	53.026380	0.1639	0.0360
4.636694	53.026457	1.5289	0.4371
4.845956	53.026601	58.0025	48.0624
4.442294	53.026638	0.1696	0.0000
4.068340	53.026792	0.0000	0.0353
5.070084	53.026990	0.8815	0.8728
4.651563	53.027120	1.4466	0.3596
4.860827	53.027237	32.0374	23.7999
4.457160	53.027325	0.0000	0.0482
4.083200	53.027524	0.0328	0.0278
5.084958	53.027599	1.1444	1.0478
4.666431	53.027780	0.9900	0.7945
4.875698	53.027871	5.4092	4.8210
4.472027	53.028009	0.0000	0.0345
5.099832	53.028206	0.5029	0.3085
4.098062	53.028255	0.0670	0.0000
3.918501	53.028318	0.0338	0.0000
4.681301	53.028438	8.8184	3.7281
4.890570	53.028504	1.8842	0.2495
4.486893	53.028691	0.0741	0.0166
5.114707	53.028811	0.7979	0.5798
3.933360	53.029069	0.0589	0.0000
4.696170	53.029095	7.1493	3.8336
4.905443	53.029135	0.9920	0.1898
4.501761	53.029372	0.2341	0.0707
5.129582	53.029414	1.1687	0.6118
4.711040	53.029750	0.5122	0.7017
4.920315	53.029764	0.8750	1.0681
5.144458	53.030015	0.6396	0.6374
4.516628	53.030051	0.1430	0.0556
4.935188	53.030391	0.4145	0.3322
4.725911	53.030403	0.6087	0.4393
5.159334	53.030615	0.0365	0.6767
4.531496	53.030728	0.3933	0.1245
4.337074	53.030739	0.0299	0.0000
4.950062	53.031016	0.0327	0.0831
5.174210	53.031212	0.0000	0.2978
4.546365	53.031403	0.2090	0.1499
4.351940	53.031438	0.0375	0.0000
4.964936	53.031640	0.9905	0.2652
3.304168	53.031727	0.0615	0.0000
5.189087	53.031808	0.0481	0.1331
4.561234	53.032076	0.5665	0.1845
